Date,Time,Booking ID,BookingStatus,CustomerID,VehicleType,PickupLocation,DropLocation,AvgVTAT,AvgCTAT,CancelledRidesbyCustomer,Reasonforcancelling byCustomer,CancelledRidesbyDriver,Reasonforcancelling byDriver,IncompleteRides,IncompleteRidesReason,BookingValue,RideDistance,DriverRatings,Customer Rating
26-02-2025,15:12,CNR6410541381,Success,CUST85620,Auto,Attiguppe,MG Road,6.39,12.24,NA,NA,NA,NA,NA,NA,479.73,5.77,4,4.7
15-02-2025,05:45,CNR6944124917,Incomplete,CUST88385,Bike,Koramangala,Bannerghatta Road,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
08-02-2025,10:00,CNR6385227540,Cancelled by Customer,CUST18452,Prime Plus,Horamavu,Girinagar,NA,NA,1,AC is not working,NA,NA,NA,NA,NA,NA,0,NA
16-02-2025,00:54,CNR2849667386,Success,CUST95161,Bike,JP Nagar,Richmond Town,3.19,9.73,NA,NA,NA,NA,NA,NA,721.93,1.98,3.7,3.5
02-02-2025,12:58,CNR4981498371,Cancelled by Customer,CUST91342,Auto,BTM Layout,Sarvagnanagar,NA,NA,1,Driver is not moving towards pickup location,NA,NA,NA,NA,NA,NA,0,NA
05-02-2025,01:12,CNR4094054028,Success,CUST41038,Bike,Arekere,Padmanabhanagar,9.53,7.12,NA,NA,NA,NA,NA,NA,266.34,6.44,4.8,3.3
24-02-2025,00:18,CNR8339462694,Incomplete,CUST11846,Prime Plus,Magadi Road,Vijayanagar,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
22-02-2025,06:17,CNR9328817605,Success,CUST79092,eBike,Yeshwanthpur,RT Nagar,7.8,8.15,NA,NA,NA,NA,NA,NA,530.69,3.64,3.9,4.9
21-02-2025,12:05,CNR2594455396,Success,CUST11690,Prime Plus,Arekere,Basavanagudi,8.93,13.67,NA,NA,NA,NA,NA,NA,351.2,1.27,3.2,4
20-02-2025,11:10,CNR1208362122,Incomplete,CUST20538,eBike,Sarjapur,Bannerghatta Road,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
02-02-2025,16:11,CNR4326770491,Incomplete,CUST23972,Prime Sedan,Basavanagudi,Sarvagnanagar,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
09-02-2025,06:10,CNR4416325594,Cancelled by Driver,CUST45974,Prime SUV,Basavanagudi,Jayanagar,NA,NA,NA,NA,1,More than permitted people in there,NA,NA,NA,NA,0,NA
06-02-2025,18:09,CNR9014640386,Incomplete,CUST62412,Prime Plus,Cooke Town,JP Nagar,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
02-02-2025,06:29,CNR2141056334,Cancelled by Customer,CUST10213,Prime Sedan,Arekere,Nelamangala,NA,NA,1,Driver asked to cancel,NA,NA,NA,NA,NA,NA,0,NA
03-02-2025,22:24,CNR9051704008,Success,CUST42262,Auto,Nelamangala,KR Puram,5.68,9.42,NA,NA,NA,NA,NA,NA,334.94,9.28,4.9,3.5
20-02-2025,23:14,CNR3680772836,Success,CUST56224,Prime SUV,Ulsoor,HSR Layout,4.03,11.2,NA,NA,NA,NA,NA,NA,272.23,13.09,4.6,4.3
26-02-2025,18:24,CNR2767924235,Cancelled by Driver,CUST53894,Prime SUV,Indiranagar,Attiguppe,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
20-02-2025,10:09,CNR6048677976,Success,CUST82920,Prime Sedan,Vijayanagar,Rajajinagar,8.49,14.36,NA,NA,NA,NA,NA,NA,644.66,1.72,5,4.2
05-02-2025,15:46,CNR8458422347,Incomplete,CUST36776,Mini,Bellandur,Banerghatta,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
14-02-2025,07:51,CNR2742427476,Success,CUST83050,Bike,Nagarbhavi,Indiranagar,4.45,11.16,NA,NA,NA,NA,NA,NA,542.66,19.6,4.3,3.7
04-02-2025,11:21,CNR7512559239,Incomplete,CUST88079,Prime Plus,Magadi Road,Bellandur,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
13-02-2025,07:58,CNR5300749442,Success,CUST38296,Prime SUV,Yeshwanthpur,Vijayanagar,8.1,10.64,NA,NA,NA,NA,NA,NA,354.17,9.78,4.8,3.6
20-02-2025,17:03,CNR6438113658,Success,CUST99316,Prime Plus,Kengeri,Arekere,8.37,5.25,NA,NA,NA,NA,NA,NA,393.16,3.29,3.5,4.8
03-02-2025,01:44,CNR3920650740,Success,CUST34079,Prime Plus,Indiranagar,Rajajinagar,8.06,6.3,NA,NA,NA,NA,NA,NA,262.12,14.19,3,3.9
27-02-2025,17:59,CNR8923056765,Success,CUST84146,Auto,RT Nagar,Shivajinagar,4.12,8.02,NA,NA,NA,NA,NA,NA,940.63,4.57,3.9,3.5
03-02-2025,13:13,CNR3687255705,Success,CUST71857,eBike,Sarvagnanagar,Malleshwaram,9.84,8.67,NA,NA,NA,NA,NA,NA,649.44,18.58,3.5,3.1
14-02-2025,04:30,CNR2128183219,Success,CUST38932,Bike,Banashankari,Sarvagnanagar,9.36,13.01,NA,NA,NA,NA,NA,NA,898.98,7.65,3.8,4.8
02-02-2025,01:29,CNR8394296122,Success,CUST70119,Auto,Bommanahalli,Domlur,9.9,14.95,NA,NA,NA,NA,NA,NA,1123.81,15.28,4.4,4.9
04-02-2025,12:39,CNR4162170453,Success,CUST57058,Bike,MG Road,Jayanagar,6.22,8.99,NA,NA,NA,NA,NA,NA,552.62,14.87,4.4,4.2
